l_name,f_name,mi,suffix,dob,gender,email,phone,residence,state,city,zip,dodid,branch,status,designator,coc,nok_lname,nok_fname,nok_phone,nok_address,ets,basd,grade,SPN,username,password
Collins,Kelsie,g,,1/5/1969,m,petersko@live.com,(978) 457-1423,618 N. Walnutwood Street ,New Jersey,Orlando,50265,1373602072,Army,AD,25t,863rd AD,Collins,Aiden,(726) 644-1371,266 Park Court ,8/7/2015,11/21/1991,e1,201,,
Black,Jovanni,h,,6/25/1969,m,pemungkah@live.com,(666) 766-2380,7711 Essex Ave. ,Colorado,Norfolk,33442,1232804757,Army,NG,656,525 MI BDE,Black,Marie,(253) 369-8468,"Dalton, GA 30721",3/5/2016,8/26/1992,o2,201,,
Hamilton,Braden,y,jr,10/2/1973,m,jmmuller@live.com,(941) 428-0018,8742 Lantern Rd. ,Alaska,North Hempstead,33510,9600726439,Army,AD,12n,101st ABN,Hamilton,Kara,(817) 321-1097,2 Livingston St. ,9/27/2017,2/28/1993,o6,201,,
Tate,Ryland,l,,1/10/1975,m,leocharre@verizon.net,(305) 434-1988,6 E. Grant Lane ,Nebraska,Arlington,92220,908275015,Army,AD,33w,25 SIG,Tate,Bo,(243) 315-1496,"Essex, MD 21221",7/17/2018,3/17/1993,o8,201,,
Santana,Oscar,s,,3/22/1976,m,rtanter@msn.com,(376) 340-4391,7451 Bohemia Court ,Utah,Las Vegas,68107,7382178904,Army,NG,45y,863rd AD,Santana,Lucia,(694) 346-7628,276 South Windfall Street ,9/5/2018,1/22/1994,e7,201,,
Stephens,Madelyn,r,,5/27/1977,f,jgmyers@live.com,(208) 613-1794,8525 Blue Spring Ave,Ohio,Baton Rouge,30092,329390125,Army,AD,124,525 MI BDE,Stephens,Jadyn,(836) 451-5305,"Passaic, NJ 07055",11/21/2018,12/10/1995,w1,201,,
Chung,Keegan,y,,5/1/1978,m,rupak@live.com,(615) 282-6544,7917 Ivy Ave. ,Virginia,Nashville-Davidson,11423,9104442200,Army,AD,09f,101st ABN,Chung,Payton,(962) 712-6734,9943 S. Buttonwood Street ,3/8/2020,3/22/1997,w5,201,,
Reid,Reed,I,III,1/12/1979,m,denism@yahoo.ca,(825) 270-3054,1 East 4th Ave.,Delaware,Toledo,48504,9839540989,Army,AD,545n,25 SIG,Reid,Alexus,(454) 782-8301,"Laurel, MD 20707",5/3/2021,4/9/1997,e8,201,,
Mercado,Annabella,,,2/7/1979,f,trieuvan@att.net,(815) 233-5064,658 Homewood Ave,Rhode Island,Portland,8003,5419418322,Army,AD,09l,9th marine,Mercado,Gia,(381) 862-5246,7644 Pilgrim Drive ,7/11/2023,12/21/1997,e7,201,,
Gutierrez,Reece,,,1/31/1981,m,bdbrown@hotmail.com,(941) 814-4296,875 Country Club Court ,Colorado,Tucson,16001,6578312086,Army,NG,6h,17th reg,Gutierrez,Eli,(203) 337-5782,"Bristow, VA 20136",6/24/2024,3/24/1998,e6,201,,
Ellis,Aron,d,,6/24/1981,m,mccurley@sbcglobal.net,(652) 449-3850,7009 W. Aspen Ave. ,Kansas,Reno,38053,5923089223,Army,Reserve,bn5,Brt 17,Ellis,Antonio,(445) 418-8173,981 Glenridge Dr. ,1/10/2025,10/2/1999,e1,201,,
Ware,Simeon,f,,4/27/1982,m,ivoibs@optonline.net,(360) 269-8422,9151 Shady Court ,Indiana,Raleigh,3060,1290311265,Army,NG,uk7,506th MI,Ware,Justus,(281) 700-6252,"Pottstown, PA 19464",1/23/2025,10/24/1999,e4,201,,
Donovan,Janiah,g,,4/23/1983,m,british@gmail.com,(484) 439-1417,5 Prince St. ,New Jersey,St. Paul,34221,2352354049,Army,AD,tre2,1st inf div,Donovan,Clark,(718) 349-6169,8138 Union Lane ,5/25/2026,11/16/2001,e5,201,,
Haynes,Jeffery,h,,1/2/1984,m,thaljef@att.net,(604) 201-5115,96 Paris Hill Court ,Arkansas,Cincinnati,45420,9404586468,Army,AD,saw6,4th inf div,Haynes,Alessandra,(779) 551-0003,"Honolulu, HI 96815",9/27/2026,11/17/2002,e5,201,,
Bass,Itzel,,,10/6/1984,m,mcast@msn.com,(271) 666-0935,69 Hawthorne Dr. ,Utah,Boston,20147,7390758611,Army,AD,353t,6 sf,Bass,Zackery,(844) 382-1349,51 Third Circle ,7/26/2029,5/8/2003,e4,201,,
Ho,Terry,u,SR,2/7/1988,m,ardagna@icloud.com,(998) 750-4062,31 Water Drive ,California,Washington,30294,4389679928,Army,AD,42a,1st armored div,Ho,Pablo,(287) 510-4914,"Niles, MI 49120",1/25/2030,4/20/2005,e3,201,,
Jensen,Reyna,t,,11/5/1989,m,british@aol.com,(464) 480-4046,9428 El Dorado Lane ,Maine,Los Angeles,32779,157935416,Army,Reserve,42y,1st cav div,Jensen,Christian,(328) 572-6478,28 N. Leeton Ridge Street ,11/20/2030,10/7/2005,e6,201,,
Ritter,Tianna,d,,1/9/1991,f,crowemojo@outlook.com,(399) 297-9922,25 Arlington Ave. ,Arizona,San Antonio,91784,6118269419,Army,NG,167h,1st inf div,Ritter,Jaida,(540) 837-4075,"Wappingers Falls, NY 12590",12/22/2030,9/18/2008,e8,201,,
Bradshaw,Jarrett,s,,8/12/1993,m,bflong@hotmail.com,(480) 726-4264,9428 Schoolhouse Ave. ,Nevada,Columbus,34761,1614437356,Army,AD,76j,3rd inf div,Bradshaw,Sheldon,(932) 236-4380,7154 Water St. ,3/27/2031,7/4/2011,e9,201,,
Sanders,Kyleigh,g,,3/1/1997,m,grossman@yahoo.com,(718) 979-0375,9987 South Temple Court ,Louisiana,Fort Worth,30004,641527834,Army,AD,35g,7th inf div,Sanders,Mike,(373) 897-5386,"Vineland, NJ 08360",1/6/2033,3/2/2013,e9,201,,
Waller,Jolie,h,,4/27/1997,f,tskirvin@hotmail.com,(481) 811-8987,64 Prince Lane ,Oklahoma,Henderson,53402,5299391076,Army,AD,353g,10th mountain,Waller,Ramiro,(751) 587-2056,4 West Penn Street ,5/7/2033,3/3/2013,o5,201,,
Mcintyre,Bryce,o,,10/7/1997,m,quantaman@verizon.net,(778) 256-2206,158 Augusta Street ,Utah,Pittsburgh,40207,1466066740,Army,NG,14x,1st usa,Mcintyre,Shayna,(302) 379-9195,"Deerfield Beach, FL 33442",11/19/2033,8/24/2014,o9,201,,
Ramirez,Dale,e,,5/10/1999,m,jpflip@yahoo.ca,(403) 250-9127,740 Brandywine Ave. ,West Virginia,Seattle,2816,1549640677,Army,AD,12x,3rd usa,Ramirez,Aryana,(962) 708-6165,50 Lafayette Dr. ,4/3/2034,11/21/1991,e1,201,,
Webb,Jayda,p,,6/5/2000,m,gknauss@msn.com,(708) 405-9581,772 West Fremont Street ,Nevada,Colorado Springs,2368,7100769650,Army,AD,65h,7th usa,Webb,Kole,(883) 218-0984,"Glenside, PA 19038",5/29/2034,8/26/1992,e4,201,,
